year,branch_code,visits,registrations,circulation,sessions
2013,MAS,208021,1791,249361,111379
2013,MCG,128400,1346,256023,44723
2013,MD,57388,995,105129,44575
2013,ME,8300,NA,4,NA
2013,MI,83468,816,188067,21055
2013,MP,72363,591,159474,5675
2013,MRV,150788,1102,258596,30713
2013,MS,135475,1038,216544,39950
2013,ND,328400,2665,492887,117777
2013,NE,41188,414,95443,13700
2013,NT,88600,568,136741,22372
2013,OS,5825,NA,10,NA
2013,OV,84013,604,133008,34600
2013,PA,257275,1538,437861,72263
2013,PE,40100,234,87564,9638
2013,PK,345738,1883,371412,128159
2013,PL,208063,1632,257039,69688
2013,PM,115625,765,222670,20863
2013,PU,127775,850,250018,16875
2013,PV,186250,1192,364392,41325
2013,QS,70725,424,114279,11863
2013,RD,226400,1014,304089,73788
2013,RI,409390,2608,669746,118823
2013,RN,283238,1727,457819,67213
2013,RX,46325,422,92390,18938
2013,SA,290300,1492,292200,69388
2013,SB,19200,117,43349,538
2013,SI,31100,290,61402,14225
2013,SJ,192963,1695,297168,62200
2013,SL,114900,1141,219240,26075
2013,SP,78583,691,178496,11245
2013,ST,160538,1058,323144,37838
2013,SW,19688,67,44401,2575
2013,SWS,262125,1293,453121,147925
2013,TA,36375,317,137367,15425
2013,TH,203338,2090,231256,88100
2013,TOD,17500,192,57785,3300
2013,TRL,1226659,9618,372810,818494
2013,VV,41950,429,117074,13675
2013,WE,87500,873,148627,37488
2013,WP,30575,647,87524,16738
2013,WS,471800,2229,520729,114088
2013,WY,114613,1000,239247,43200
2013,YO,191050,1052,325299,32475
2013,YW,208388,2280,306947,176806
2014,AB,401819,3810,398248,142159
2014,ACD,285428,1782,398024,149898
2014,AD,102875,543,176590,16500
2014,AG,424457,3171,934448,166023
2014,AH,67675,608,192068,11800
2014,AN,95263,878,192175,28629
2014,AP,56313,1020,141236,18550
2014,BB,93375,705,191767,26263
2014,BC,91963,1206,114512,24600
2014,BD,72650,838,161001,20538
2014,BE,186600,1523,347392,41963
2014,BF,356077,2053,585103,120551
2014,BKONE,23813,279,61331,NA
2014,BL,355250,3109,442201,174629
2014,BR,234008,2032,405961,83069
2014,BRW,420963,2016,493792,42088
2014,BUR,107200,825,193594,28275
2014,CC,80175,765,174901,18738
2014,CE,125613,1604,311704,26025
2014,CED,366123,3958,584174,258188
2014,CH,201288,2142,360425,29988
2014,CL,1561767,12262,1612696,496202
2014,CS,112413,1082,194304,21663
2014,DA,146013,1109,306457,38850
2014,DM,280151,1897,600651,85624
2014,DO,168733,1861,241057,118894
2014,DP,275813,1824,409681,54988
2014,DR,121325,1213,207658,49650
2014,DT,42150,312,120646,7150
2014,DU,106788,889,146068,59313
2014,EA,223854,2752,511745,47626
2014,EB,49750,410,167238,6538
2014,EG,56200,646,83330,33350
2014,EN,146697,2096,452867,23452
2014,ES,205025,1523,260109,37063
2014,FH,93575,972,205273,20288
2014,FO,96613,3651,132189,24150
2014,FP,146247,1002,153730,51997
2014,FV,191404,5568,697775,167961
2014,GE,95775,579,182103,23425
2014,GHP,202833,862,286301,50442
2014,GW,45950,403,124727,12138
2014,HB,66263,614,181224,8900
2014,HC,81538,796,192057,24713
2014,HIL,128975,912,363547,31088
2014,HP,194450,1224,334554,44950
2014,HS,49413,493,78459,31213
2014,HW,161325,468,90607,34175
2014,JD,158938,1488,285210,71413
2014,JO,80275,680,178808,28863
2014,JS,94250,1099,128740,48763
2014,KE,106838,1323,194291,39188
2014,LB,55625,783,138562,22363
2014,LE,144900,1147,362819,23925
2014,LO,179275,1577,347441,40625
2014,LS,352151,3243,431178,183539
2014,MA,123450,852,252997,38513
2014,MAL,347883,2728,442761,175932
2014,MAS,197358,1794,232861,128615
2014,MCG,123663,1351,234554,44396
2014,MD,82625,798,114802,64538
2014,ME,9163,NA,NA,NA
2014,MI,94434,834,169427,22058
2014,MP,63575,556,152317,5613
2014,MRV,151875,1149,239917,30650
2014,MS,124575,1152,189655,41363
2014,ND,299729,2553,464453,106577
2014,NE,34300,383,89817,12938
2014,NT,91293,527,127543,23049
2014,OS,6800,NA,16,NA
2014,OV,86450,606,132051,36975
2014,PA,239357,1674,424425,71899
2014,PE,43838,282,91155,10063
2014,PK,348589,2014,372542,133343
2014,PL,198530,1561,238983,68339
2014,PM,109425,816,218377,19988
2014,PU,117025,842,231040,18088
2014,PV,100388,701,238752,22738
2014,QS,65850,473,115853,11150
2014,RD,203900,962,306181,74888
2014,RI,553673,2549,599169,120461
2014,RN,364788,1823,448648,68213
2014,RX,51613,406,80646,18875
2014,SA,268350,1254,264573,66100
2014,SB,15950,118,42559,400
2014,SI,31188,319,58719,14225
2014,SJ,182788,1594,281753,65038
2014,SL,110738,1275,219081,25688
2014,SP,78683,638,161094,13242
2014,ST,145800,826,225130,27963
